timestamp,outside_t,fan_pct,mixer_pct,mixer_area_cm2,mixer_area_m2,air_velocity_m_s,volumetric_flow_m3_s,mass_flow_kg_s
2026-07-21T08:05:08.323Z,32.442,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:13.334Z,32.442,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:18.325Z,32.51,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:23.457Z,32.5,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:28.323Z,32.542,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:33.332Z,32.559,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:38.334Z,32.479,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:43.328Z,32.511,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:48.329Z,32.568,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:53.334Z,32.588,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:05:58.332Z,32.6,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:03.327Z,32.586,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:08.335Z,32.597,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:13.328Z,32.619,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:18.329Z,32.664,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:23.329Z,32.707,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:28.329Z,32.705,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:33.328Z,32.705,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:38.328Z,32.725,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:43.328Z,32.725,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:48.328Z,32.703,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:53.329Z,32.667,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:06:58.332Z,32.667,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:03.327Z,32.613,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:08.329Z,32.579,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:13.378Z,32.596,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:18.325Z,32.571,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:23.328Z,32.481,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:28.328Z,32.418,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:33.328Z,32.361,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:38.331Z,32.358,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:43.329Z,32.382,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:48.330Z,32.444,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:53.331Z,32.506,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:07:58.328Z,32.506,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:03.328Z,32.548,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
