Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CHAMBER_THERMALZONE:Zone Mean Air Temperature [C](Hourly),HANGER_THERMALZONE:Zone Mean Air Temperature [C](Hourly),CHAMBER_THERMALZONE:Zone Air Temperature [C](Hourly),CHAMBER_THERMALZONE:Zone Air System Sensible Heating Energy [J](Hourly),CHAMBER_THERMALZONE:Zone Air System Sensible Cooling Energy [J](Hourly),HANGER_THERMALZONE:Zone Air Temperature [C](Hourly),HANGER_THERMALZONE:Zone Air System Sensible Heating Energy [J](Hourly),HANGER_THERMALZONE:Zone Air System Sensible Cooling Energy [J](Hourly),NODE 6:System Node Mass Flow Rate [kg/s](Hourly),NODE 5:System Node Mass Flow Rate [kg/s](Hourly),NODE 4:System Node Mass Flow Rate [kg/s](Hourly),NODE 3:System Node Mass Flow Rate [kg/s](Hourly),NODE 2:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC COOLING COIL OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC HEATING COIL OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC MIXED AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC OA NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC RELIEF AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),NODE 1:System Node Mass Flow Rate [kg/s](Hourly),MODEL OUTDOOR AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),HANGER_IDEALLOADS OUTDOOR AIR INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_THERMALZONE:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),HANGER_THERMALZONE:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),Electricity:Facility [J](Hourly) 
 07/21  11:00:00,33.800000000000004,24.00000728001991,24.0,24.00000728001991,0.0,934799.8418599649,24.0,0.0,461601605.81331646,0.022508808788993574,0.022508808788993574,11.344834492811005,11.344834492811005,0.022508808788993574,0.022508808788993574,0.022508808788993574,0.022508808788993574,0.0,0.0,11.344834492811005,0.0,0.0,0.0,0.0,88787144.04517601 
 07/21  12:00:00,33.800000000000004,24.00000546887304,24.0,24.00000546887304,0.0,989923.8947661328,24.0,0.0,494789711.33579016,0.02371704560791733,0.02371704560791733,12.170228171149795,12.170228171149795,0.02371704560791733,0.02371704560791733,0.02371704560791733,0.02371704560791733,0.0,0.0,12.170228171149795,0.0,0.0,0.0,0.0,88805559.86691356 
 07/21  13:00:00,33.800000000000004,24.000004441862263,24.0,24.000004441862263,0.0,1021706.5415392623,24.0,0.0,511834541.9633974,0.024422719448117348,0.024422719448117348,12.591821712352827,12.591821712352827,0.024422719448117348,0.024422719448117348,0.024422719448117348,0.024422719448117348,0.0,0.0,12.591821712352827,0.0,0.0,0.0,0.0,88816217.34417821 
 07/21  14:00:00,33.800000000000004,24.000004437673056,24.0,24.000004437673056,0.0,1019137.7652119771,24.0,0.0,519550655.9038286,0.024395479796399135,0.024395479796399135,12.77703065172228,12.77703065172228,0.024395479796399135,0.024395479796399135,0.024395479796399135,0.024395479796399135,0.0,0.0,12.77703065172228,0.0,0.0,0.0,0.0,88815880.76885945 
 07/21  15:00:00,33.858333333333334,24.0000047454412,24.0,24.0000047454412,0.0,1008680.2117498027,24.0,0.0,526190240.23941314,0.02416265210832755,0.02416265210832755,12.941345838578634,12.941345838578634,0.02416265210832755,0.02416265210832755,0.02416265210832755,0.02416265210832755,0.0,0.0,12.941345838578634,0.0,0.0,0.0,0.0,88812560.13184497 
 07/21  16:00:00,33.9,24.00000483573304,24.0,24.00000483573304,0.0,1005435.3935431864,24.0,0.0,530822146.1333188,0.024109318168843055,0.024109318168843055,13.055701860089641,13.055701860089641,0.024109318168843055,0.024109318168843055,0.024109318168843055,0.024109318168843055,0.0,0.0,13.055701860089641,0.0,0.0,0.0,0.0,88811920.66749887 
 07/21  17:00:00,33.78333333333333,24.000004757146968,24.0,24.000004757146968,0.0,1008819.0351929568,24.0,0.0,532395109.30226064,0.02417124733401198,0.02417124733401198,13.095246599715123,13.095246599715123,0.02417124733401198,0.02417124733401198,0.02417124733401198,0.02417124733401198,0.0,0.0,13.095246599715123,0.0,0.0,0.0,0.0,88812304.89763589 
 07/21  18:00:00,33.75833333333333,24.000004802234358,24.0,24.000004802234358,0.0,1008127.2931830698,24.0,0.0,528065508.31706864,0.02411773197550669,0.02411773197550669,12.990311807832446,12.990311807832446,0.02411773197550669,0.02411773197550669,0.02411773197550669,0.02411773197550669,0.0,0.0,12.990311807832446,0.0,0.0,0.0,0.0,88811332.82841064 
 07/21  19:00:00,33.916666666666664,27.851536505303,27.39793908181804,27.851536505303,0.0,207897.32755710647,27.39793908181804,0.0,153368932.75600117,0.004343263537155734,0.004343263537155734,2.7586273293612025,2.7586273293612025,0.004343263537155734,0.004343263537155734,0.004343263537155734,0.004343263537155734,0.0,0.0,2.7586273293612025,0.0,0.0,0.0,0.0,49191810.23088097 
 07/21  20:00:00,34.05833333333333,28.000024370705148,27.999999999919776,28.000024370705148,0.0,342175.51327319135,27.999999999919776,0.0,240012321.3769405,0.007175435349935259,0.007175435349935259,4.309148680233743,4.309148680233743,0.007175435349935259,0.007175435349935259,0.007175435349935259,0.007175435349935259,0.0,0.0,4.309148680233743,0.0,0.0,0.0,0.0,49249076.064259134 
 07/21  21:00:00,34.1,28.000024724406543,28.0,28.000024724406543,0.0,352629.0128653806,28.0,0.0,210581356.43358165,0.007601141034218106,0.007601141034218106,3.7750723507721857,3.7750723507721857,0.007601141034218106,0.007601141034218106,0.007601141034218106,0.007601141034218106,0.0,0.0,3.7750723507721857,0.0,0.0,0.0,0.0,49258579.18510021 
 07/21  22:00:00,34.041666666666664,28.00002496995089,28.0,28.00002496995089,0.0,312937.3325751737,28.0,0.0,184655788.00292137,0.006848426759628385,0.006848426759628385,3.3045515899480793,3.3045515899480793,0.006848426759628385,0.006848426759628385,0.006848426759628385,0.006848426759628385,0.0,0.0,3.3045515899480793,0.0,0.0,0.0,0.0,49244280.48139199 
 07/21  23:00:00,34.05833333333333,28.00002502934498,28.0,28.00002502934498,0.0,271802.7032325213,28.0,0.0,166798454.95288998,0.006023623080426793,0.006023623080426793,2.9801208771982726,2.9801208771982726,0.006023623080426793,0.006023623080426793,0.006023623080426793,0.006023623080426793,0.0,0.0,2.9801208771982726,0.0,0.0,0.0,0.0,49228332.41679718 
 07/21  24:00:00,34.15833333333333,28.000025073562735,28.0,28.000025073562735,0.0,242228.56750258763,28.0,0.0,155406136.20152813,0.005431314755233691,0.005431314755233691,2.773254102962548,2.773254102962548,0.005431314755233691,0.005431314755233691,0.005431314755233691,0.005431314755233691,0.0,0.0,2.773254102962548,0.0,0.0,0.0,0.0,49216873.04449308 
