timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,T_z_weighted,RH_z_weighted,CO2_z_weighted,m_sa_kgs
2026-07-31T03:35:53.159Z,28.90806882138384,74.80203125607571,421.8380789771324,0,1,12,24.4056091865429,67.01247900220704,,955.5,0,0,28.019582421580026,62.03913719126919,428.0170384640536,0,1,37,,,,0,0,0,18.191155239567763,75.20722347009395,433.1739803839879,0,1,41,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.851198480557752,65.02314227783191,428.0170384640536,0.0615814991956671
2026-07-31T03:35:58.158Z,28.90726193924545,74.63182813046814,419.6542710794192,0,1,23,24.405048267888613,66.95123110198634,,955.5,0,0,28.017624179422025,62.00522347214228,431.1153346176483,0,1,51,,,,0,0,0,18.17203971561099,75.30650112308456,432.5565823455891,0,1,36,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.850078632501976,64.97282805004872,431.1153346176483,0.0615814991956671
2026-07-31T03:36:03.159Z,28.90653574532091,74.49864531742132,420.28884397147726,0,1,36,24.404543441099754,66.89610799178772,,955.5,0,0,28.015861761479822,61.97470112492805,432.8038011558835,0,1,46,,,,0,0,0,18.15483574404989,75.39585101077611,433.1009241110302,0,1,41,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84907076925178,64.92754524504386,432.8038011558835,0.0615814991956671
2026-07-31T03:36:08.159Z,28.90588217078881,74.38878078567919,421.0599595743296,0,1,36,24.404089096989782,66.84649719260895,,955.5,0,0,28.01427558533184,61.92723101243525,433.4234210402951,0,1,41,,,,0,0,0,18.1393521696449,75.4862659096985,434.3908316999272,0,1,45,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.848163692326608,64.87879072053947,433.4234210402951,0.0615814991956671
2026-07-31T03:36:13.159Z,28.905293953709936,74.26990270711127,420.25396361689667,0,1,30,24.403680187290806,66.80184747334806,,955.5,0,0,28.012848026798657,61.884507911191726,432.7810789362656,0,1,36,,,,0,0,0,18.12541695268041,75.56763931872865,435.7517485299345,0,1,46,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84734732309395,64.83491164848553,432.7810789362656,0.0615814991956671
2026-07-31T03:36:18.158Z,28.904764558338943,74.12291243640014,421.228567255207,0,1,37,24.40331216856173,66.71166272601326,,955.4,0,0,28.01156322411879,61.83605712007255,433.20297104263904,0,1,41,,,,0,0,0,18.112875257412373,75.65087538685579,436.1765736769411,0,1,42,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.846612590784552,64.76142048363698,433.20297104263904,0.0615814991956671
2026-07-31T03:36:23.158Z,28.90428810250505,74.02062119276013,421.3057105296863,0,1,34,24.402980951705555,66.61049645341194,,955.5,0,0,28.010406901706915,61.7924514080653,435.08267393837514,0,1,48,,,,0,0,0,18.10158773167113,75.73578784817022,436.658916309247,0,1,42,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.845951331706097,64.68327843527328,435.08267393837514,0.0615814991956671
2026-07-31T03:36:28.158Z,28.903859292254545,73.92855907348412,424.5751394767177,0,1,48,24.402682856535,66.50944680807075,,955.4,0,0,28.009366211536225,61.72320626725877,435.2744065445376,0,1,41,,,,0,0,0,18.091428958504025,75.81220906335321,437.2930246783223,0,1,43,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84535619853549,64.59495059174596,435.2744065445376,0.0615814991956671
2026-07-31T03:36:33.158Z,28.903473363029093,73.84570316613572,426.517625529046,0,1,44,24.402414570881504,66.41850212726368,,955.4,0,0,28.008429590382605,61.66088564053289,434.64696589008383,0,1,37,,,,0,0,0,18.082286062653623,75.8809881570179,436.7637222104901,0,1,38,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.844820578681944,64.51545553257137,434.64696589008383,0.0615814991956671
2026-07-31T03:36:38.158Z,28.903126026726184,73.78113284952215,425.9658629761414,0,1,33,24.40217311379336,66.32665191453731,,955.4,0,0,28.007586631344346,61.5847970764796,434.98226930107546,0,1,41,,,,0,0,0,18.06405745638826,75.94288934131612,437.28734998944105,0,1,43,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84433852081375,64.42990997931423,434.98226930107546,0.0615814991956671
